timestamp,L1.V,L1.P,L1.Q,L1.S,L1.I,L1.PF,F,measure_cons
2022-02-20T01:58:00.000Z,235.7,219.3,135.9,257.9,1.22,0.85,49.9,219.3
2022-02-20T01:59:00.000Z,235.7,219.3,135.6,257.8,1.22,0.85,49.9,219.3
2022-02-20T02:00:00.000Z,235.5,219.9,135.2,258.1,1.224,0.852,49.9,219.9
2022-02-20T02:01:00.000Z,235.6,219.7,135.4,258,1.222,0.851,49.9,219.7
2022-02-20T02:02:00.000Z,235.7,220.6,135.5,258.9,1.224,0.852,49.9,220.6
2022-02-20T02:03:00.000Z,235.6,219.3,135.9,257.9,1.221,0.85,49.9,219.3
2022-02-20T02:04:00.000Z,235.3,219.6,134.5,257.4,1.22,0.852,49.9,219.6
2022-02-20T02:05:00.000Z,235.7,220.5,135.7,258.8,1.225,0.851,49.9,220.5
2022-02-20T02:06:00.000Z,236,219.9,136.9,259,1.224,0.849,49.9,219.9
2022-02-20T02:07:00.000Z,236.2,221.4,135.9,259.7,1.225,0.852,50,221.4
2022-02-20T02:08:00.000Z,236.5,220.1,137.6,259.6,1.222,0.848,50,220.1
2022-02-20T02:09:00.000Z,236.4,321.4,264.6,418.4,1.757,0.772,50,321.4
2022-02-20T02:10:00.000Z,236,331.6,312.4,455.6,2.002,0.728,49.9,331.6
2022-02-20T02:11:00.000Z,235.9,319.9,313.6,447.9,1.971,0.713,49.9,319.9
2022-02-20T02:12:00.000Z,233.6,318.9,298.5,436.8,1.945,0.729,50,318.9
2022-02-20T02:13:00.000Z,233.7,329.1,298.4,444.1,1.974,0.74,50,329.1
2022-02-20T02:14:00.000Z,233.6,333.4,297.7,447,1.986,0.745,50,333.4
2022-02-20T02:15:00.000Z,234.7,336.4,303.6,453,2.003,0.742,49.9,336.4
2022-02-20T02:16:00.000Z,236,337.9,310.5,458.8,2.015,0.736,49.9,337.9
2022-02-20T02:17:00.000Z,236.1,337.3,311.7,459.2,2.016,0.734,49.9,337.3
2022-02-20T02:18:00.000Z,236.1,337.8,310.9,459.1,2.016,0.735,49.9,337.8
2022-02-20T02:19:00.000Z,236.2,337.3,311,458.7,2.013,0.735,49.9,337.3
2022-02-20T02:20:00.000Z,236.3,337.8,311.1,459.1,2.015,0.735,49.9,337.8
2022-02-20T02:21:00.000Z,236.2,336.9,310.7,458.3,2.012,0.735,49.9,336.9
2022-02-20T02:22:00.000Z,236.1,337.4,310.2,458.3,2.012,0.736,49.9,337.4
2022-02-20T02:23:00.000Z,236.1,337,309.4,457.5,2.008,0.736,50,337
2022-02-20T02:24:00.000Z,236.2,297.3,244.4,386.4,1.727,0.781,50,297.3
2022-02-20T02:25:00.000Z,236.1,222.6,133.2,259.4,1.224,0.858,49.9,222.6
2022-02-20T02:26:00.000Z,236.1,219.6,135.8,258.2,1.217,0.85,50,219.6
2022-02-20T02:27:00.000Z,233,216.9,127.2,251.4,1.204,0.862,50,216.9
2022-02-20T02:28:00.000Z,231.5,215.9,122,248,1.201,0.87,49.9,215.9
2022-02-20T02:29:00.000Z,231.3,215.9,121.8,247.8,1.2,0.871,49.9,215.9
2022-02-20T02:30:00.000Z,231.3,215.7,121.8,247.6,1.2,0.87,49.9,215.7
2022-02-20T02:31:00.000Z,231.3,215.5,122.1,247.6,1.199,0.87,49.9,215.5
2022-02-20T02:32:00.000Z,231.5,216,122.2,248.1,1.201,0.87,49.9,216
2022-02-20T02:33:00.000Z,231.4,216.3,120.9,247.7,1.202,0.873,49.9,216.3
2022-02-20T02:34:00.000Z,231.3,217.1,120.7,248.3,1.205,0.874,49.9,217.1
2022-02-20T02:35:00.000Z,231.2,217,120.2,248,1.205,0.874,50,217
2022-02-20T02:36:00.000Z,231.3,216.5,120.6,247.8,1.202,0.873,50,216.5
2022-02-20T02:37:00.000Z,231,216.7,120.6,248,1.205,0.873,49.9,216.7
2022-02-20T02:38:00.000Z,231,216.7,120,247.7,1.205,0.874,49.9,216.7
2022-02-20T02:39:00.000Z,231.1,216.6,119.7,247.5,1.204,0.875,50,216.6
2022-02-20T02:40:00.000Z,230.4,215.5,118.1,245.7,1.198,0.877,50,215.5
2022-02-20T02:41:00.000Z,230.1,215.4,118.1,245.5,1.198,0.877,49.9,215.4
2022-02-20T02:42:00.000Z,230.5,215.4,119.1,246,1.199,0.875,49.9,215.4
2022-02-20T02:43:00.000Z,230.9,216.6,120.2,247.6,1.205,0.874,49.9,216.6
2022-02-20T02:44:00.000Z,231.3,216.5,120.8,247.8,1.204,0.873,49.9,216.5
2022-02-20T02:45:00.000Z,231.4,216.2,121.4,247.9,1.203,0.872,50,216.2
2022-02-20T02:46:00.000Z,231.2,217.9,119.1,248.3,1.207,0.877,49.9,217.9
2022-02-20T02:47:00.000Z,231.3,219.2,116.6,248.2,1.204,0.883,49.9,219.2
2022-02-20T02:48:00.000Z,231.4,220.1,116.5,249,1.206,0.884,50,220.1
2022-02-20T02:49:00.000Z,231.2,219.8,116.7,248.9,1.208,0.883,49.9,219.8
2022-02-20T02:50:00.000Z,231.2,219.8,116.4,248.7,1.208,0.884,49.9,219.8
2022-02-20T02:51:00.000Z,231.2,219.9,116.4,248.8,1.208,0.884,49.9,219.9
2022-02-20T02:52:00.000Z,231.2,307.3,214.8,376.9,1.733,0.824,50,307.3
2022-02-20T02:53:00.000Z,231.2,344.4,285,446.8,2.008,0.77,49.9,344.4
2022-02-20T02:54:00.000Z,231.3,341,287.9,446.2,2.004,0.764,50,341
2022-02-20T02:55:00.000Z,231.3,340.7,286.8,445.3,2.001,0.765,49.9,340.7
2022-02-20T02:56:00.000Z,231.2,339,287.5,444.5,2,0.762,49.9,339
2022-02-20T02:57:00.000Z,231.3,337.4,287.9,443.5,1.993,0.76,49.9,337.4
2022-02-20T02:58:00.000Z,231.3,336.8,287.5,442.7,1.99,0.76,49.9,336.8
2022-02-20T02:59:00.000Z,230.8,336.7,284.3,440.6,1.985,0.764,49.9,336.7
2022-02-20T03:00:00.000Z,231.1,348.3,286.6,451.1,2.028,0.771,50,348.3
2022-02-20T03:01:00.000Z,230,331.8,281.1,434.9,1.967,0.763,50,331.8
2022-02-20T03:02:00.000Z,228.9,332,276.2,431.8,1.963,0.768,50,332
2022-02-20T03:03:00.000Z,228.8,332.2,276.5,432.2,1.965,0.768,49.9,332.2
2022-02-20T03:04:00.000Z,228.3,331.4,273.8,429.9,1.96,0.771,49.9,331.4
2022-02-20T03:05:00.000Z,229.9,333.7,281.2,436.4,1.974,0.764,49.9,333.7
2022-02-20T03:06:00.000Z,229.8,332.4,281,435.2,1.97,0.763,49.9,332.4
2022-02-20T03:07:00.000Z,230.5,332.6,283.6,437,1.973,0.761,49.9,332.6
2022-02-20T03:08:00.000Z,231.2,333.5,287,439.9,1.978,0.757,50,333.5
2022-02-20T03:09:00.000Z,231.2,332.9,286.8,439.4,1.976,0.757,49.9,332.9
2022-02-20T03:10:00.000Z,231.4,237.8,152.1,283.3,1.347,0.848,49.9,237.8
2022-02-20T03:11:00.000Z,231.5,216.7,121.7,248.5,1.205,0.872,49.9,216.7
2022-02-20T03:12:00.000Z,231.4,216.6,121.4,248.3,1.204,0.872,49.9,216.6
2022-02-20T03:13:00.000Z,231.2,216.3,121.1,247.9,1.204,0.872,49.9,216.3
2022-02-20T03:14:00.000Z,231.2,216.4,120.8,247.8,1.204,0.873,49.9,216.4
2022-02-20T03:15:00.000Z,231.3,216.5,120.7,247.8,1.204,0.873,49.9,216.5
2022-02-20T03:16:00.000Z,231.1,216.2,120.1,247.3,1.203,0.874,49.9,216.2
2022-02-20T03:17:00.000Z,230.8,216.6,119.4,247.2,1.205,0.875,49.9,216.6
2022-02-20T03:18:00.000Z,230.8,216.2,119.5,247,1.203,0.875,49.9,216.2
2022-02-20T03:19:00.000Z,230.8,216.1,119.2,246.8,1.201,0.875,49.9,216.1
2022-02-20T03:20:00.000Z,231,216.1,120.1,247.1,1.201,0.874,49.9,216.1
2022-02-20T03:21:00.000Z,231,216.1,120.3,247.3,1.202,0.873,49.9,216.1
2022-02-20T03:22:00.000Z,230.9,216.2,120.2,247.3,1.204,0.874,49.9,216.2
2022-02-20T03:23:00.000Z,230.7,216.1,119.4,246.8,1.203,0.875,49.9,216.1
2022-02-20T03:24:00.000Z,231.1,216.2,120.3,247.3,1.203,0.873,49.9,216.2
2022-02-20T03:25:00.000Z,231.1,216.7,119.3,247.3,1.203,0.876,50,216.7
2022-02-20T03:26:00.000Z,231,217.2,119.2,247.7,1.205,0.876,50,217.2
2022-02-20T03:27:00.000Z,230.7,215.5,119.5,246.4,1.201,0.874,49.9,215.5
2022-02-20T03:28:00.000Z,230.8,214.7,120,245.9,1.195,0.873,49.9,214.7
2022-02-20T03:29:00.000Z,231.2,216,120.5,247.2,1.201,0.873,50,216
2022-02-20T03:30:00.000Z,231.7,217.1,122.3,249.1,1.206,0.871,49.9,217.1
2022-02-20T03:31:00.000Z,231.6,216.8,121.7,248.6,1.206,0.872,50,216.8
2022-02-20T03:32:00.000Z,231.6,216.5,121.7,248.3,1.203,0.871,50,216.5
2022-02-20T03:33:00.000Z,231.3,217.3,120.6,248.5,1.206,0.874,49.9,217.3
2022-02-20T03:34:00.000Z,231.3,227,116.9,255.2,1.234,0.889,49.9,227
2022-02-20T03:35:00.000Z,231.1,226.5,116.4,254.5,1.233,0.889,49.9,226.5
2022-02-20T03:36:00.000Z,231.2,287.3,178.7,340.9,1.601,0.851,49.9,287.3
2022-02-20T03:37:00.000Z,231,334.8,283.7,438.9,1.975,0.762,50,334.8
2022-02-20T03:38:00.000Z,231.1,319.6,290.9,432.2,1.946,0.739,49.9,319.6
2022-02-20T03:39:00.000Z,231.2,312.9,289.6,426.3,1.921,0.733,49.9,312.9
2022-02-20T03:40:00.000Z,231.3,324.8,287.4,433.6,1.951,0.748,49.9,324.8
2022-02-20T03:41:00.000Z,231.3,329.3,287.9,437.3,1.966,0.752,49.9,329.3
2022-02-20T03:42:00.000Z,231.4,331.3,288.2,439,1.973,0.754,50,331.3
2022-02-20T03:43:00.000Z,231.5,332.9,287.7,439.9,1.976,0.756,50,332.9
2022-02-20T03:44:00.000Z,231.5,333,287.9,440.2,1.976,0.756,50,333
2022-02-20T03:45:00.000Z,231.5,332.6,288,439.9,1.975,0.756,50,332.6
2022-02-20T03:46:00.000Z,231.7,332.8,288.4,440.4,1.976,0.755,50,332.8
2022-02-20T03:47:00.000Z,231.6,332.7,288.3,440.2,1.976,0.755,50,332.7
2022-02-20T03:48:00.000Z,231.7,332.5,289,440.5,1.976,0.754,49.9,332.5
2022-02-20T03:49:00.000Z,231.5,332.2,288,439.6,1.974,0.755,50,332.2
2022-02-20T03:50:00.000Z,231.2,332,286.5,438.5,1.973,0.757,50,332
2022-02-20T03:51:00.000Z,231.3,331.5,286.5,438.1,1.971,0.756,49.9,331.5
2022-02-20T03:52:00.000Z,231.5,228.1,127.8,265.1,1.262,0.873,49.9,228.1
2022-02-20T03:53:00.000Z,229.6,215.3,115.7,244.4,1.199,0.88,49.9,215.3
